Br.;Naziv;RBS;Sjedište;Telefon;Internetska stranica;Poveznica na Sudski registar
1;BANKA KOVANICA d.d.;ZB 025 ;P.Preradovića  29, Varaždin;042/403-403;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:070047926
2;BKS BANK d.d.;ZB 026 ;Mljekarski trg  3, Rijeka;051/353555;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:040001012
3;CROATIA BANKA d.d.;ZB 019 ;Roberta Frangeša Mihanovića  9, Zagreb;01/2391-120;croatiabanka.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080007370
4;Erste & Steiermarkische bank d.d.;ZB 002 ;Jadranski trg 3/a, Rijeka;062/371013;www.erstebank.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:040001037
5;Hrvatska poštanska banka d.d.;ZB 020 ;Jurišićeva  4, Zagreb;01/4804-400, 4804-409;www.hpb.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080010698
6;HYPO ALPE-ADRIA-BANK  d.d.;ZB 024 ;Slavonska avenija  6, Zagreb;01/6035-380;www.hypo-alpe-adria.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080072083
7;IMEX BANKA d.d.;ZB 009 ;Tolstojeva  6, Split;021/406100;www.imexbanka.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:060001876
8;Istarska kreditna banka Umag d.d.;ZB 010 ;Ernesta Miloša  1, Umag;052/702 340;www.ikb.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:040001029
9;Jadranska banka d.d.;ZB 027;Ante Starčevića  4, Šibenik;;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:060001044
10;Karlovačka banka d.d.;ZB 001 ;Ivana Gorana Kovačića  1, Karlovac;047/417-501;www.kaba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:020000334
11;KENTBANK d.d., Zagreb;ZB 028;Gundulićeva 1, Zagreb;;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080129579
12;Kreditna banka Zagreb d.d.;ZB 006 ;Grada Vukovara  74, Zagreb;01/6167-303,01/6167-301,01/5617-573;www.kbz.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080003981
13;OTP BANKA HRVATSKA d.d.;ZB 007 ;Ulica domovinskog rata  3, Zadar;062/201-707;www.otpbanka.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:060000531
14;Partner banka d.d.;ZB 018 ;Vončinina  2, Zagreb;01/4602 222;www.paba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080003730
15;Podravska banka d.d.;ZB 016 ;Opatička  3, Koprivnica;062/655-260;www.poba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:010000486
16;PRIMORSKA BANKA d.d.;ZB 023 ;Scarpina  7, Rijeka;051/355-777;www.primorska.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:040098231
17;Privredna banka Zagreb d.d.;ZB 014 ;Radnička cesta  50, Zagreb;01/4891 331;www.pbz.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080002817
18;Raiffeisenbank Austria d.d.;ZB 003 ;Petrinjska  59, Zagreb;01/4560825;rba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080002366
19;Sberbank d.d.;ZB 013 ;Varšavska  9, Zagreb;01 4801 300;sberbank.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080126398
20;Slatinska banka d.d.;ZB 017 ;Vladimira Nazora  2, Slatina (Preseka);033/840400;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:010000576
21;SOCIETE GENERALE - SPLITSKA BANKA d.d.;ZB 012 ;Ruđera Boškovića  16, Split;021/304-621;www.splitskabanka.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:060000488
22;VABA d.d. banka;ZB 005 ;Aleja kralja Zvonimira  1, Varaždin;042/659-400;www.vaba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:050000185
23;VENETO BANKA d.d..;ZB 004 ;Draškovićeva  58, Zagreb;01/4802666;;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080003326
24;ZAGREBAČKA BANKA d.d.;ZB 008 ;Trg bana Josipa Jelačića  10, Zagreb;01/4801-544;www.zaba.hr;https://sudreg.pravosudje.hr/registar/f?p=150:28:0::NO:28:P28_SBT_MBS:080000014
