Rbr;Ime;Prezime;Datum ovlaštenja;Dozvolu izdao
1;Maja;Adamović;15.11.1996;MINISTARSTVO FINANCIJA RH
2;Zoran;Bajo;26.08.2010;HANFA
3;Brigita;Balog-Grozdek;21.07.2006;HANFA
4;Snježana;Bertoncelj;18.06.2001;MINISTARSTVO FINANCIJA RH
5;Martina;Bigec;08.03.2013;HANFA
6;Ivana;Bilić;14.07.2011;HANFA
7;Davor;Borojević;13.12.2013;HANFA
8;Ivana;Bošković;22.03.2013;HANFA
9;Ivana;Brguljan;29.07.2011;HANFA
10;Monika;Brzović;12.12.2006;HANFA
11;Valentina;Car;18.06.2001;MINISTARSTVO FINANCIJA RH
12;Mirjana;Cesarec;18.06.2001;MINISTARSTVO FINANCIJA RH
13;Ivana;Čulina;22.03.2013;HANFA
14;Rafael;Čulo;18.06.2001;MINISTARSTVO FINANCIJA RH
15;Ružica;Ćeškić;22.07.2010;HANFA
16;Suzana;Dumančić;18.06.2001;MINISTARSTVO FINANCIJA RH
17;Marijana;Đuranec;05.10.2006;HANFA
18;Lucija;Eder;28.10.2010;HANFA
19;Sanja;Fehir;04.08.2011;HANFA
20;Irena;Goleš;21.10.2010;HANFA
21;Blaženka;Gregurec Brnetić;21.06.2011;HANFA
22;Sabina;Hajdarević;12.07.2013;HANFA
23;Ana;Handžiski;01.03.2013;HANFA
24;Ana;Haramija (Topolovec);18.06.2001;MINISTARSTVO FINANCIJA RH
25;Jasminka;Horvat;18.06.2001;MINISTARSTVO FINANCIJA RH
26;Zdenka;Idžotić;05.02.2003;MINISTARSTVO FINANCIJA RH
27;Ivana;Jurić;26.08.2010;HANFA
28;Nataša;Kapetanović;23.09.2010;HANFA
29;Zvjezdan;Karlić;16.12.2010;HANFA
30;Marija;Kazija Krizmanić;29.06.2006;HANFA
31;Božena;Kelić;01.03.2013;HANFA
32;Željka;Klarić;24.08.2006;HANFA
33;Josip;Kljaković Gašpić;09.09.2010;HANFA
34;Vedran;Kogej;03.07.2015;HANFA
35;Jasna;Komljenović Lončar;13.07.2006;HANFA
36;Danica;Kovačić;18.06.2001;MINISTARSTVO FINANCIJA RH
37;Lidija;Kufrin;26.08.2010;HANFA
38;Ingrid;Lenac;19.10.2006;HANFA
39;Gordana;Letica;18.06.2001;MINISTARSTVO FINANCIJA RH
40;Mirna;Lipovšćak;22.07.2010;HANFA
41;Kristina;Lulić;12.06.2015;HANFA
42;Deana;Maček;18.06.2001;MINISTARSTVO FINANCIJA RH
43;Katarina;Majstorović Galetić;22.07.2010;HANFA
44;Martina;Martinović;31.10.2013;HANFA
45;Nikola;Mašić;18.06.2001;MINISTARSTVO FINANCIJA RH
46;Marin;Matijaca;29.06.2006;HANFA
47;Katarina;Mikić;17.07.2015;HANFA
48;Tihana;Mikulić;18.06.2001;MINISTARSTVO FINANCIJA RH
49;Sabina;Mlivić;05.09.2002;MINISTARSTVO FINANCIJA RH
50;Nataša;Mudronja-Forčić;18.06.2001;MINISTARSTVO FINANCIJA RH
51;Karolina;Nakić;22.03.2013;HANFA
52;Ana;Nimčević;01.03.2013;HANFA
53;Ana;Novosel;22.07.2010;HANFA
54;Vedran;Odak;02.12.1996;MINISTARSTVO FINANCIJA RH
55;Angela;Olujić;22.07.2010;HANFA
56;Ivana;Otočan;29.03.2013;HANFA
57;Mia;Pamuković;03.07.2015;HANFA
58;Lidija;Pecigoš Višnjić;24.08.2006;HANFA
59;Jasna;Peko;21.06.2011;HANFA
60;Nives;Penić-Ivanko;18.06.2001;MINISTARSTVO FINANCIJA RH
61;Bernardica;Peranec;21.06.2011;HANFA
62;Maja;Petrač;10.11.2011;HANFA
63;Mladena;Plavljanić;19.06.2015;HANFA
64;Martina;Popovčić;19.06.2015;HANFA
65;Morana;Pribanić;18.06.2001;MINISTARSTVO FINANCIJA RH
66;Tatjana;Račić-Žlibar;15.11.1996;MINISTARSTVO FINANCIJA RH
67;Zoran;Radibratović;05.09.2002;MINISTARSTVO FINANCIJA RH
68;Andreja;Radić;18.06.2001;MINISTARSTVO FINANCIJA RH
69;Tihana;Radišić;21.06.2011;HANFA
70;Ivančica;Rajić;28.10.2010;HANFA
71;Marjana;Rajić;24.08.2006;HANFA
72;Mirjana;Rašeta;15.11.1996;MINISTARSTVO FINANCIJA RH
73;Ana;Rehlicki (Lončar);24.08.2006;HANFA
74;Zdenka;Rizman;02.12.1996;MINISTARSTVO FINANCIJA RH
75;Irena;Ročan;18.06.2001;MINISTARSTVO FINANCIJA RH
76;Dora;Rogošić  (Jakšić);01.03.2013;HANFA
77;Vanja;Rojko;31.07.2015;HANFA
78;Ksenija;Sanjković;18.06.2001;MINISTARSTVO FINANCIJA RH
79;Tatjana;Sardelić;30.10.2008;HANFA
80;Irena;Severin;15.11.1996;MINISTARSTVO FINANCIJA RH
81;Branka;Skelin Marić;22.07.2010;HANFA
82;Jasmina;Skrbin (Janić);25.01.2007;HANFA
83;Anita;Slivar;29.03.2013;HANFA
84;Katarina;Stanić;17.02.2011;HANFA
85;Branko;Stubljar;18.06.2001;MINISTARSTVO FINANCIJA RH
86;Ines;Šikić;29.06.2006;HANFA
87;Ivana;Šimić;12.06.2015;HANFA
88;Mela;Šimpraga;24.08.2006;HANFA
89;Daniela;Šipalo;17.11.2011;HANFA
90;Ivana;Škopljanac;08.05.2015;HANFA
91;Marija;Špoljarić;01.03.2013;HANFA
92;Stojan;Štironja;01.03.2013;HANFA
93;Jasna;Tenšak (Borzić);07.12.2006;HANFA
94;Sanya;Timarac;12.11.2010;HANFA
95;Neven;Tišma;18.06.2001;MINISTARSTVO FINANCIJA RH
96;Iva;Tkalac;18.06.2001;MINISTARSTVO FINANCIJA RH
97;Ivana;Trobentar;01.03.2013;HANFA
98;Dunja;Vaić;18.06.2001;MINISTARSTVO FINANCIJA RH
99;Martina;Valek;29.03.2013;HANFA
100;Sandra;Vrabec;22.07.2010;HANFA
101;Ivana;Vrkić Čavrlj;22.07.2010;HANFA
102;Miroslav;Vučeta;05.06.2008;HANFA
103;Ivan;Zalar;21.06.2011;HANFA
104;Marijana;Zec;20.10.2011;HANFA
105;Dubravka;Zoričić;15.11.1996;MINISTARSTVO FINANCIJA RH
106;Valentina;Zovak;17.01.2014;HANFA
107;Emir;Ždralović;30.11.2006;HANFA
108;Katarina;Žužul;20.12.2013;HANFA
